Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,count_dot,count_www,count_per,count_ques,count_hyphen,count_equal,Label
web-psd2-group.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,2,0,1
fbcontainment.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
tweedy-light.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,4,1,0,1,4,3,1
tweedy-light.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
dtghsf.lfjn3a.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
azrecpsrt.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1
heeressport.at,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,1
zxe32szefr3.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1
gshkls.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
btcconv.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
attttinmnwgyyatt.weebly.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1
mythreehelp.co.uk,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
ama-zon.huananshangcheng.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
xn--trtkatkpay-3ubd.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,1
foxlap.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,2,3,1
foxlap.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1
camadanyapimalzemeleri.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
3965207478e6a58f7c87af5d49a0c165.webredirect.org,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
paypalverifycentral.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
paypalverifycentral.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,1
lowmanids.buzz,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
lowmanids.buzz,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1,3,1
jlgraphic.fr,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
jlgraphic.fr,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,2,3,1
heeressport.at,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,1
yourecofamily.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
yourecofamily.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,3,1
serviceenligneverificationbp.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
serviceenligneverificationbp.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
sparkpassedecom.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
sparkpassedecom.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
xn--sparkass-i1a.connect-1412.de,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,4,0,1
xn--sparkass-i1a.connect-1412.de,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,4,0,1
xn--sparkass-i1a.connect-1412.de,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,4,0,1
avaceklpterms.ga,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1
avaceklpterms.ga,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1,6,0,0,1,5,2,1
betasussgir.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
betasussgir.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
alphabetic-custody.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
illiberal-session.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
rakuten.co.jp.wshtkh.ph,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,5,0,0,0,0,0,1
amieueeraes.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1
kurskin.be:443,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1
kurskin.be,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1
ltaucard.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
kurskin.be,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,1,4,0,0,1,1,0,1
venturegroupit.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
